Project_ID,Area_sqft,Floors,Material_Quality,Location_Type,Labor_Cost_per_sqft,Material_Cost_per_sqft,Design_Complexity,Duration_months,Total_Cost
C1155,9828,3,High,Urban,222,437,5,8,11061686.85
C1156,8878,1,Medium,Rural,237,265,10,23,5155746.62
C1157,9942,2,Medium,Rural,252,349,5,9,6082172.23
C1158,1833,1,Medium,Urban,243,392,9,12,1796005.94
C1159,4650,2,High,Suburban,209,346,9,9,4407089.37
C1160,7266,4,Medium,Suburban,159,382,6,16,4876053.46
C1161,3211,1,Low,Suburban,251,305,7,12,2046670.25
C1162,5353,4,High,Urban,207,435,10,22,5960896.07
C1163,6712,5,Low,Urban,292,325,8,13,5666756.21
C1164,7979,4,Low,Suburban,158,378,9,16,5236428.63
C1165,5908,4,Medium,Urban,162,212,6,14,2957576.31
C1166,8215,2,Medium,Rural,286,430,8,6,6375955.07
C1167,9442,5,Medium,Urban,280,227,2,15,6486776.39
C1168,2262,4,Low,Suburban,222,460,10,5,1865056.85
C1169,7601,4,High,Rural,265,299,8,15,5836048.87
C1170,8174,5,High,Suburban,274,387,2,22,7806819.48
C1171,6622,5,Medium,Suburban,260,499,8,21,6962131.14
C1172,981,1,Medium,Rural,220,318,2,17,545433.83
C1173,653,2,Medium,Rural,238,245,3,21,341293.43
C1174,8117,5,Medium,Urban,169,267,7,22,5852515.67
C1175,2024,5,Low,Suburban,230,370,9,6,1663025.07
C1176,2620,3,Low,Rural,239,395,3,8,1597462.76
C1177,2843,5,High,Urban,168,219,5,17,1913622.93
C1178,5636,2,Medium,Urban,261,310,9,6,4987761.58
C1179,6260,4,Medium,Urban,280,345,7,8,5664873.86
C1180,1740,4,High,Urban,256,391,2,4,1672607.28
C1181,560,4,Medium,Suburban,270,428,5,6,509801.87
C1182,9630,4,Medium,Suburban,241,211,5,20,5216816.85
C1183,2139,3,Medium,Rural,296,416,9,17,1664183.65
C1184,6685,5,Low,Suburban,229,278,2,14,3587741.03
C1185,8470,4,High,Urban,180,235,1,10,5873172.82
C1186,1752,1,Medium,Urban,202,463,4,14,1516385.89
C1187,4703,4,High,Rural,262,227,4,11,2794760.53
C1188,8863,5,High,Urban,183,285,1,9,6878990.56
C1189,4049,4,High,Urban,180,387,10,10,4221272.91
C1190,4697,3,High,Rural,288,453,7,22,4459488.26
C1191,7509,2,Medium,Suburban,155,279,2,12,4300310.84
C1192,7167,2,Medium,Urban,176,385,9,13,6078971.04
C1193,2822,5,Medium,Rural,156,204,7,4,1076331.91
C1194,4590,2,Medium,Rural,198,245,7,6,2454254.4
C1195,7460,2,High,Urban,245,301,1,23,5679264.59
C1196,3504,1,Medium,Rural,209,201,9,23,1781595.92
C1197,5636,5,High,Urban,182,416,10,11,5585347.31
C1198,829,5,High,Suburban,196,224,9,10,579109.26
C1199,4140,2,High,Rural,268,456,2,7,3490812.6
C1200,8482,2,High,Rural,176,422,10,16,7530272.59
C1201,4607,2,Medium,Urban,171,268,9,4,3079589.46
C1202,1841,3,Low,Urban,196,396,2,23,1484556.89
C1203,8907,4,Low,Urban,242,471,2,19,7773141.72
C1204,838,3,Medium,Suburban,151,381,8,10,648487.06
C1205,6395,5,Medium,Urban,292,217,3,4,4685333.23
C1206,3208,1,High,Suburban,196,306,3,17,2153046.87
C1207,2250,4,High,Urban,176,216,7,4,1581629.84
C1208,6104,1,Medium,Suburban,176,324,10,13,4173295.87
C1209,2921,5,Low,Urban,290,281,6,16,2191630.33
C1210,7619,5,Low,Rural,294,203,7,23,4104371.1
C1211,9401,1,Low,Urban,224,314,6,12,7401653.2
C1212,5819,1,Medium,Urban,159,336,9,9,4540180.87
C1213,7109,1,Medium,Rural,270,486,2,16,5554939.13
C1214,5887,5,Low,Suburban,182,427,8,15,4579198.13
C1215,4493,2,Medium,Urban,275,215,6,23,3460872.11
C1216,9180,1,Low,Urban,157,497,4,4,8548190.72
C1217,8544,4,Medium,Suburban,284,411,6,12,8262295.08
C1218,8738,5,Medium,Urban,220,445,6,3,8382100.1
C1219,5373,3,Medium,Suburban,284,485,10,3,5661856.72
C1220,5306,3,Medium,Suburban,190,481,3,5,4291409.09
C1221,9092,4,High,Urban,267,376,8,13,10896887.22
C1222,6413,2,Medium,Suburban,204,230,5,21,4069278.26
C1223,7624,1,Medium,Suburban,156,249,10,11,4660902.3
C1224,3657,5,High,Rural,233,342,4,15,2787788.51
C1225,890,1,Medium,Urban,295,251,2,6,647084.88
C1226,4930,5,High,Suburban,227,432,10,22,5497433.81
C1227,9320,3,Medium,Urban,202,365,1,8,7131597.07
C1228,8186,1,Medium,Suburban,163,237,7,4,4500463.62
C1229,4732,4,Low,Rural,298,219,10,11,2712109.97
C1230,8507,2,Medium,Urban,262,298,3,20,6412832.83
C1231,2021,4,Medium,Rural,206,414,3,6,1351900.59
C1232,9518,2,Low,Suburban,240,243,3,3,5545647.11
C1233,2000,1,Medium,Rural,195,310,10,3,1280539.13
C1234,7237,1,Medium,Suburban,240,288,3,22,5126906.41
C1235,3794,2,Low,Urban,282,317,2,19,2733980.71
C1236,5585,3,Medium,Urban,251,438,6,21,5632999.78
C1237,2919,5,Medium,Urban,255,271,10,5,2247411.05
C1238,9626,4,Low,Urban,277,362,3,19,7444299.32
C1239,3542,4,Medium,Suburban,181,450,1,5,2769994.6
C1240,4997,4,High,Suburban,155,394,10,6,4165098.59
C1241,1966,1,Medium,Rural,223,259,9,15,1122632.58
C1242,4061,4,Medium,Suburban,284,297,6,17,3127347.64
C1243,1114,5,Medium,Suburban,178,272,6,14,616149.36
C1244,5892,5,Medium,Rural,183,421,10,5,4172387.92
C1245,8193,2,High,Rural,156,318,9,23,4929663.77
C1246,9874,1,Medium,Urban,230,381,2,10,7564852.41
C1247,3723,5,Low,Suburban,226,417,10,3,3029345.98
C1248,7638,3,Medium,Urban,207,455,9,20,7551447.8
C1249,3167,1,High,Urban,234,287,3,15,2547467.96
C1250,8480,1,Low,Urban,222,474,3,9,7306959.37
C1251,630,5,High,Rural,194,225,3,15,310362.86
C1252,3483,3,High,Suburban,196,320,1,19,2314909.2
C1253,4778,2,Low,Suburban,226,488,10,15,4057605.85
C1254,7626,5,High,Rural,222,229,7,15,4619138.18
C1255,8730,3,Medium,Urban,265,401,10,13,8910064.3
C1256,8194,1,High,Suburban,179,235,7,16,5438280.44
C1257,7140,3,Medium,Suburban,220,324,2,23,4699190.86
C1258,5968,1,Medium,Urban,294,422,6,12,6929087.86
C1259,1420,5,Medium,Suburban,252,434,4,10,1225987.88
C1260,8064,5,High,Urban,282,323,7,8,8517880.12
C1261,9184,4,Low,Rural,253,370,7,21,5541618.59
C1262,9823,4,Medium,Urban,271,380,4,21,9148847.07
C1263,9002,4,Low,Urban,278,414,3,14,8049496.36
C1264,9430,5,Medium,Suburban,180,317,7,23,6054748.91
C1265,3741,2,Medium,Urban,258,426,9,9,3685659.44
C1266,1045,5,Medium,Urban,221,236,4,20,745303.79
C1267,4846,3,Medium,Suburban,276,295,6,22,4044872.88
C1268,4310,5,Low,Urban,234,319,7,20,3364913.05
C1269,7706,5,Low,Suburban,164,211,10,5,4089916.14
C1270,9505,1,Low,Suburban,205,321,3,11,5358026.87
C1271,2532,1,Medium,Suburban,176,234,5,8,1445125.28
C1272,8936,1,High,Suburban,151,450,1,3,7209203.55
C1273,771,5,Low,Urban,223,266,6,12,510715.88
C1274,4011,2,High,Urban,213,237,5,10,3135899.54
C1275,2271,3,High,Suburban,154,479,7,19,2043101.91
C1276,9954,3,Medium,Rural,240,429,9,5,8082449.05
C1277,4861,2,Medium,Urban,217,367,4,5,3994308.32
C1278,7569,2,High,Suburban,290,445,9,5,8917409.99
C1279,1420,3,Low,Suburban,230,278,6,9,961106.39
C1280,8690,4,Medium,Suburban,234,313,5,13,6782012.47
C1281,3930,1,Medium,Suburban,172,416,2,20,2650626.13
C1282,4935,1,Medium,Urban,246,399,1,7,4387104.88
C1283,4260,3,High,Suburban,273,441,8,4,4789168.41
C1284,2550,2,Low,Urban,186,212,6,16,1259763.43
C1285,1665,4,Medium,Suburban,179,406,7,3,1437902.51
C1286,9067,3,Medium,Rural,266,461,6,6,6682531.51
C1287,2533,1,Medium,Suburban,158,296,10,16,1513515.56
C1288,6967,5,Medium,Urban,281,270,7,17,5427182.34
C1289,645,2,Medium,Rural,215,429,9,22,466164.99
C1290,4888,5,High,Rural,269,499,5,22,4237564.68
C1291,8332,3,Medium,Suburban,273,231,1,19,5329288.72
C1292,9123,1,High,Suburban,193,449,1,5,8111139.91
C1293,9396,4,Medium,Urban,258,453,9,6,10222887.91
C1294,8673,5,Low,Rural,186,458,5,20,5137336.09
C1295,3132,4,Low,Suburban,216,381,2,3,2112441.25
C1296,4994,1,Low,Rural,209,365,3,7,2674621.91
C1297,8556,5,Medium,Urban,185,203,1,20,4365665.78
C1298,8011,4,Medium,Urban,198,344,6,15,6057844.13
C1299,9655,4,High,Rural,256,364,6,16,6930695.86
C1300,2328,5,High,Suburban,157,304,3,22,1489340.5
C1301,9630,1,Low,Urban,190,235,3,5,5380138.96
C1302,5305,4,Medium,Urban,250,368,7,8,4512077.72
C1303,1306,3,Medium,Suburban,262,207,1,13,738173.06
C1304,7986,5,Medium,Urban,258,285,5,11,6314553.74
C1305,8702,2,Low,Suburban,235,296,3,22,5886883.15
C1306,2368,2,Low,Suburban,227,229,5,21,1396413.81
C1307,8378,1,High,Suburban,204,300,4,9,6792899.29
C1308,6190,3,High,Urban,259,266,6,23,5808994.8
C1309,8327,4,Low,Rural,295,262,9,12,5013494.02
C1310,5929,2,Medium,Urban,214,231,2,9,3883356.52
C1311,9576,1,Medium,Suburban,213,286,10,7,7028812.56
C1312,4064,3,High,Urban,289,410,8,6,4802253.7
C1313,1889,3,Medium,Suburban,267,250,2,19,1197592.23
C1314,7774,1,Low,Rural,191,262,4,7,3467831.89
C1315,1324,1,High,Rural,266,279,9,19,1017179.74
C1316,2765,4,Medium,Suburban,199,431,4,19,2109591.1
C1317,1436,1,Medium,Suburban,197,300,7,19,893751.13
C1318,6902,4,Medium,Rural,222,328,5,3,4373365.51
C1319,4345,4,Medium,Rural,285,218,2,4,2316649.96
C1320,2296,5,Medium,Rural,284,293,8,21,1619158.86
C1321,8745,3,Medium,Urban,255,280,10,11,8117379.67
C1322,7714,3,Medium,Rural,157,302,10,22,3997236.11
C1323,1226,3,Low,Urban,259,353,2,17,879137.03
C1324,3236,5,High,Urban,180,468,3,21,3228076.34
C1325,2413,4,Low,Urban,161,317,10,7,1786468.9
C1326,8157,4,Low,Urban,276,478,7,15,7595843.0
C1327,2966,1,Medium,Suburban,206,424,5,6,2243610.9
C1328,9541,5,High,Rural,289,467,10,15,9185983.56
C1329,7812,1,High,Suburban,176,336,3,8,5684954.54
C1330,8694,5,Medium,Suburban,195,425,2,14,6514985.98
C1331,8406,1,Medium,Suburban,284,428,6,11,8638049.32
C1332,5376,2,High,Suburban,210,307,10,17,4760010.05
C1333,7787,3,Medium,Urban,207,499,1,23,7902127.13
C1334,1392,3,Medium,Rural,162,206,8,17,574598.61
C1335,5175,4,High,Suburban,249,327,5,19,4594851.37
C1336,2433,2,Low,Suburban,198,466,5,7,1960811.89
C1337,1880,3,High,Suburban,184,372,2,7,1487194.9
C1338,1790,4,High,Rural,243,413,7,7,1442141.06
C1339,2140,2,Medium,Urban,244,446,5,23,2233737.98
C1340,7990,3,High,Urban,294,305,8,16,8367679.47
C1341,9679,1,High,Suburban,221,282,5,4,6743056.86
C1342,1718,5,Low,Suburban,272,491,9,11,1531494.04
C1343,5516,2,Medium,Rural,159,402,5,16,3046590.5
C1344,7381,4,Low,Urban,153,240,3,17,3376806.2
C1345,1454,2,Medium,Urban,274,404,2,6,1318394.59
C1346,9675,4,High,Rural,178,248,5,8,4902180.87
C1347,7791,2,Medium,Suburban,195,342,10,16,5657661.87
C1348,1474,4,Medium,Suburban,226,340,10,7,1215123.36
C1349,4633,3,Medium,Urban,208,252,5,13,3385466.13
C1350,5870,1,High,Urban,215,306,6,23,4789232.69
C1351,4472,3,Low,Suburban,256,232,2,16,2372058.09
C1352,5795,1,Medium,Urban,235,399,5,9,5294257.82
C1353,9605,3,Low,Rural,282,318,1,16,5439455.74
C1354,8728,3,Medium,Suburban,158,487,3,15,7365244.14
C1355,3520,2,Low,Urban,169,428,3,20,2684364.95
C1356,9487,5,Medium,Suburban,298,317,3,4,7838447.67
C1357,4536,4,Medium,Suburban,276,375,3,11,4049485.03
C1358,5568,4,Low,Urban,166,384,8,13,4688266.09
C1359,5733,4,High,Urban,161,414,1,22,5008816.51
C1360,817,1,Low,Suburban,231,420,6,13,720125.21
C1361,2896,4,Medium,Suburban,216,329,6,8,2237544.11
C1362,2662,4,Low,Suburban,282,471,1,3,2319806.66
C1363,3245,2,Medium,Suburban,202,445,1,7,2663611.36
C1364,2091,3,Medium,Suburban,296,322,3,16,1793579.99
C1365,6683,4,Medium,Suburban,294,207,8,18,5120523.98
C1366,4430,5,Low,Suburban,203,266,6,11,2395097.99
C1367,1812,4,Medium,Suburban,217,314,4,21,1255712.64
C1368,9977,1,Medium,Urban,184,487,5,22,10578734.93
C1369,4811,1,High,Rural,237,304,10,10,3430869.49
C1370,7814,1,Medium,Suburban,290,224,3,10,4876009.91
C1371,2883,4,Medium,Rural,164,252,6,18,1224135.34
C1372,3739,2,Medium,Suburban,164,446,6,20,3151025.1
C1373,2639,5,Medium,Urban,180,480,6,10,2678128.46
C1374,2204,4,Low,Suburban,256,232,9,11,1311059.44
C1375,7424,2,Medium,Urban,159,486,10,7,7848359.68
C1376,862,2,Medium,Suburban,206,235,8,4,576212.06
C1377,3104,4,Medium,Suburban,156,438,6,23,2370542.39
C1378,4786,4,Medium,Rural,282,416,2,16,3179483.52
C1379,4238,2,High,Suburban,274,376,4,20,4365155.25
C1380,2969,2,Low,Suburban,268,243,6,15,2024819.22
C1381,5295,2,Medium,Urban,229,357,9,14,4557414.14
C1382,6650,4,High,Rural,273,468,2,17,6020617.79
C1383,1056,2,Medium,Rural,206,370,6,23,686698.09
C1384,9517,1,Medium,Suburban,221,420,10,17,8395748.54
C1385,3308,4,Medium,Urban,177,429,10,3,3380908.53
C1386,5650,1,Low,Suburban,185,290,10,9,3521604.61
C1387,8061,3,Medium,Urban,205,330,7,15,6749672.62
C1388,3219,4,High,Suburban,265,425,8,20,3401971.76
C1389,7006,3,Low,Urban,208,424,9,3,6665728.03
C1390,4241,2,Medium,Suburban,272,342,5,13,3302497.63
C1391,4498,2,High,Suburban,215,265,9,15,3408311.2
C1392,2903,5,High,Urban,158,227,9,22,1935309.15
C1393,9280,2,Medium,Suburban,283,324,7,11,7313886.17
C1394,794,3,Medium,Rural,268,411,2,18,596645.43
C1395,5843,2,Medium,Urban,271,279,8,13,4540355.64
C1396,1636,4,Low,Suburban,214,437,5,5,1304964.36
C1397,2564,2,Medium,Urban,280,331,8,19,2549500.05
C1398,7509,5,Medium,Urban,276,499,2,4,8118244.8
C1399,5043,2,High,Urban,236,318,7,11,4612037.45
C1400,1507,3,Low,Suburban,182,245,5,11,822435.52
C1401,5945,3,Medium,Suburban,286,283,4,18,4419791.62
C1402,5852,2,Medium,Rural,202,481,10,3,4428310.55
C1403,9939,3,Medium,Suburban,241,212,6,19,5878122.07
C1404,1935,3,Low,Urban,200,324,5,12,1363011.27
C1405,1071,5,Medium,Suburban,220,371,6,22,885028.09
C1406,2882,4,High,Urban,293,433,9,7,3739078.38
C1407,9937,5,Medium,Suburban,189,380,1,10,6660155.78
C1408,5584,1,Medium,Urban,188,250,1,15,3354760.11
C1409,777,5,Medium,Urban,270,468,6,23,819345.06
C1410,7559,2,Medium,Suburban,234,368,2,7,5411331.01
C1411,2387,4,Medium,Rural,286,487,8,6,2307783.91
C1412,1765,2,High,Urban,186,473,7,10,1915318.94
C1413,7991,1,High,Rural,236,406,6,9,6251567.22
C1414,1540,4,Medium,Urban,278,347,4,7,1481026.57
C1415,9609,3,Medium,Rural,212,499,9,12,7410797.67
C1416,8573,5,High,Suburban,192,236,7,19,5848850.13
C1417,9577,2,Medium,Urban,249,360,7,8,9274587.09
C1418,3252,1,Medium,Urban,254,474,5,12,3281939.01
C1419,8713,3,Medium,Urban,157,487,1,18,8074780.34
C1420,5069,5,High,Urban,198,305,2,12,4192051.0
C1421,6853,3,Medium,Urban,245,221,8,6,4876284.46
C1422,2853,5,High,Suburban,272,432,5,4,2806215.64
C1423,7937,4,High,Rural,196,321,2,3,5252409.95
C1424,5299,3,Medium,Urban,174,328,5,5,3958429.21
C1425,1186,3,High,Suburban,280,416,8,15,1321104.68
C1426,8976,3,High,Suburban,263,347,4,14,8757720.75
C1427,5311,4,Medium,Rural,248,257,3,3,2770279.16
C1428,9454,1,Low,Suburban,245,436,5,23,7889346.19
C1429,5846,5,Low,Suburban,183,269,7,12,3551084.13
C1430,5543,3,Medium,Suburban,258,388,2,8,4409596.47
C1431,2928,4,Medium,Urban,241,441,1,11,2835092.31
C1432,5626,1,Medium,Urban,157,262,5,3,3255853.01
C1433,8720,5,Low,Suburban,212,440,7,14,7418095.85
C1434,9598,4,High,Urban,231,384,8,7,10292254.72
C1435,8313,5,Medium,Suburban,174,458,8,3,6880043.51
C1436,3856,3,Medium,Urban,278,428,10,4,3998259.94
C1437,9207,1,Medium,Suburban,157,422,9,16,7546981.59
C1438,7766,4,Medium,Urban,273,298,1,4,6222228.04
C1439,7040,1,Medium,Rural,298,446,7,7,6033459.39
C1440,538,3,Medium,Rural,247,244,10,12,336083.64
C1441,3842,1,Low,Urban,250,472,8,22,3776092.26
C1442,9578,1,High,Urban,260,204,6,8,7979385.67
C1443,3344,2,High,Suburban,152,210,10,7,1812425.99
C1444,1598,1,Medium,Urban,284,238,4,4,1157256.49
C1445,7527,5,High,Urban,249,241,7,11,5768244.95
C1446,2323,4,High,Urban,160,402,3,12,2249838.6
C1447,3655,2,Low,Rural,208,293,2,10,1705498.29
C1448,3593,4,High,Rural,289,204,6,8,2149835.66
C1449,6158,4,High,Suburban,228,251,2,7,4211707.82
C1450,4278,3,Medium,Suburban,187,349,6,23,3127898.18
C1451,3396,3,Low,Rural,271,404,10,20,2647116.44
C1452,1488,2,Low,Rural,214,499,3,22,1020729.14
C1453,4616,3,Low,Rural,295,386,2,20,2901932.8
C1454,6946,3,High,Urban,195,352,8,4,7221072.62
C1455,4679,3,Medium,Urban,274,315,4,14,4297034.65
C1456,2182,4,High,Suburban,205,348,4,10,1626449.95
C1457,6126,2,High,Suburban,156,419,7,6,5749857.68
C1458,7924,4,Medium,Urban,254,391,8,22,7625210.03
C1459,1433,5,Medium,Urban,189,432,9,6,1434666.1
C1460,4098,4,Low,Rural,246,420,10,11,3028328.19
C1461,2480,5,Medium,Rural,201,246,8,11,1229812.52
C1462,3556,1,Medium,Urban,180,326,4,14,2814802.31
C1463,9484,1,Low,Rural,156,490,2,16,5570674.69
C1464,1291,5,Low,Suburban,293,414,10,5,1236615.46
C1465,5890,5,High,Rural,299,206,5,8,3911589.54
C1466,7135,4,Medium,Suburban,240,383,7,17,5696806.02
C1467,2755,5,Medium,Urban,166,315,2,21,1746612.67
C1468,4110,2,Medium,Suburban,274,251,4,6,2649983.5
C1469,2107,1,High,Suburban,153,245,6,3,1364212.8
C1470,5679,1,Medium,Suburban,271,222,8,11,4166458.23
C1471,7073,5,Low,Urban,248,330,10,18,5599647.69
C1472,1484,3,High,Rural,292,326,6,11,1040959.55
C1473,6276,3,Medium,Urban,210,464,6,14,6157799.38
C1474,4176,5,Low,Urban,170,395,6,16,3289773.3
C1475,3880,2,Medium,Suburban,226,247,4,17,2457050.82
C1476,9211,3,High,Suburban,196,281,3,23,6334195.61
C1477,9282,5,Medium,Suburban,224,308,1,18,5853095.52
C1478,1550,2,Medium,Suburban,198,462,2,10,1280748.74
C1479,4133,2,Medium,Suburban,176,230,2,12,1906811.61
C1480,6842,4,High,Suburban,180,255,10,16,4492314.39
C1481,1459,2,Low,Suburban,181,388,7,19,970801.42
C1482,6559,3,Medium,Urban,167,204,6,5,3687752.01
C1483,9384,3,High,Suburban,274,485,8,6,10721411.28
C1484,6155,5,Low,Rural,212,477,9,18,4434708.25
C1485,4973,5,High,Urban,277,344,5,16,5219316.29
C1486,3446,2,High,Suburban,165,395,3,16,2998582.93
C1487,8225,1,High,Rural,286,226,4,18,5167422.59
C1488,1026,4,Medium,Urban,211,326,8,10,789155.67
C1489,3724,1,Medium,Suburban,188,334,3,20,2718544.86
C1490,2375,2,High,Rural,264,222,2,9,1239737.85
C1491,2263,2,High,Urban,287,316,7,5,2271433.17
C1492,9212,1,Low,Urban,289,207,4,8,6420605.13
C1493,6297,4,High,Rural,221,300,8,22,4368987.1
C1494,9708,1,Medium,Rural,211,460,1,18,6791888.12
C1495,7599,5,Low,Suburban,280,398,8,6,6313368.89
C1496,5609,3,Medium,Suburban,232,285,5,21,3534361.03
C1497,7144,5,High,Rural,272,427,2,4,5685717.14
C1498,616,3,Medium,Suburban,288,378,1,6,496429.67
C1499,2933,2,Medium,Urban,285,439,6,4,2995130.54
C1500,5963,4,High,Urban,258,211,9,9,4668392.02
C1501,1083,1,Medium,Suburban,271,433,9,17,1057141.75
C1502,9086,4,Medium,Rural,268,382,9,19,7091647.38
C1503,4288,1,Medium,Rural,287,481,4,16,3837289.1
C1504,4667,5,Medium,Rural,167,389,6,13,2994434.34
C1505,8965,5,Medium,Rural,225,414,10,19,7186192.76
C1506,1889,1,High,Suburban,160,457,6,7,1725272.33
C1507,8857,4,Medium,Suburban,287,225,5,16,5558598.28
C1508,6654,1,High,Suburban,280,469,2,19,6829727.37
C1509,5920,2,Low,Suburban,211,281,7,22,3581340.42
C1510,9420,5,Medium,Suburban,220,384,1,23,7288880.13
C1511,2543,2,Medium,Urban,210,487,6,4,2850682.02
C1512,4697,5,Low,Rural,281,261,5,9,2676219.25
C1513,3996,5,Medium,Suburban,210,229,5,6,2225812.43
C1514,1278,3,Medium,Urban,285,230,8,10,1072349.06
C1515,713,2,Low,Suburban,251,492,9,3,675490.12
C1516,4262,2,Medium,Suburban,162,372,7,12,2935602.83
C1517,7231,3,Medium,Urban,161,301,10,3,5250696.64
C1518,3617,4,Medium,Rural,184,327,8,3,2149410.83
C1519,6291,2,High,Urban,200,285,2,6,5010520.18
C1520,9283,1,Medium,Urban,192,227,2,19,5179312.43
C1521,3220,3,Medium,Suburban,260,321,8,7,2440379.72
C1522,9405,2,High,Suburban,215,450,6,16,8850250.72
C1523,9627,4,High,Rural,164,260,8,8,4913926.19
C1524,6547,2,Medium,Rural,188,370,9,9,4651811.48
C1525,8532,5,Low,Rural,175,471,9,10,6382251.43
C1526,501,1,Medium,Urban,261,499,6,20,615689.65
C1527,6868,3,Medium,Urban,200,312,8,6,5171642.91
C1528,2449,5,High,Suburban,260,393,2,5,2145805.29
C1529,7232,4,High,Urban,281,218,8,6,6883213.37
C1530,8333,5,Medium,Rural,247,292,3,18,5173639.97
C1531,1417,5,High,Suburban,268,416,1,15,1244709.06
C1532,3674,4,Medium,Rural,205,378,7,13,2539487.81
C1533,7514,5,Low,Urban,218,390,1,13,5355506.44
C1534,589,3,High,Suburban,295,362,1,7,587157.34
C1535,2209,2,Medium,Suburban,153,299,1,22,1131068.85
C1536,3541,5,High,Urban,278,386,4,3,4105000.07
C1537,605,3,High,Suburban,199,494,4,16,560674.08
C1538,9578,2,Medium,Suburban,233,266,10,22,6970224.8
C1539,9119,2,Medium,Suburban,219,272,6,21,5868258.26
C1540,2395,5,Medium,Urban,297,431,10,7,2721661.13
C1541,6590,3,Medium,Urban,169,388,3,22,5067929.73
C1542,9008,5,Medium,Suburban,176,249,10,8,5729607.78
C1543,6582,4,Medium,Urban,175,323,6,21,4383742.98
C1544,1134,2,High,Urban,159,356,7,14,1036878.53
C1545,2425,5,Medium,Urban,231,460,1,16,2040532.31
C1546,2556,2,Low,Urban,254,394,6,19,2085931.74
C1547,7417,3,Medium,Urban,289,455,10,9,8927508.56
C1548,3644,1,High,Urban,237,399,1,23,3252612.93
C1549,1052,5,Medium,Suburban,173,267,7,3,701184.74
C1550,9407,5,Medium,Suburban,266,279,10,19,7867534.11
C1551,5883,2,High,Suburban,195,432,5,8,5808554.41
C1552,4411,3,Medium,Rural,285,385,10,6,3347846.11
C1553,3889,4,Medium,Suburban,204,304,4,16,2348633.07
C1554,9799,3,High,Suburban,227,341,1,10,8553559.87
C1555,8942,5,Low,Rural,237,471,9,20,6249918.85
C1556,2930,4,High,Suburban,165,323,7,22,2389452.61
C1557,958,3,Low,Suburban,297,422,2,15,740318.87
C1558,707,1,Low,Suburban,187,373,4,10,458509.04
C1559,1399,2,High,Suburban,260,390,4,18,1402668.84
C1560,521,3,Medium,Suburban,164,339,8,7,400595.49
C1561,9101,3,High,Urban,227,496,2,5,9278964.82
C1562,1394,1,High,Urban,225,318,5,15,1189196.37
C1563,1014,5,High,Urban,221,474,10,17,1335736.54
C1564,7794,2,High,Urban,168,275,8,6,5615336.07
C1565,5404,3,Medium,Urban,269,308,6,5,4251587.18
C1566,8367,4,High,Suburban,212,318,4,4,5987550.16
C1567,4609,3,Low,Suburban,254,457,5,6,3967143.44
C1568,7679,2,Medium,Suburban,181,219,2,8,4072275.69
C1569,2060,3,High,Urban,259,318,5,6,2142335.89
C1570,1766,1,Medium,Rural,156,336,3,19,869393.28
C1571,4138,3,Medium,Suburban,288,476,3,9,3747796.86
C1572,9441,3,Medium,Urban,236,454,7,20,9611655.32
C1573,3927,4,Medium,Rural,180,463,3,12,2414200.24
C1574,5280,1,High,Suburban,194,366,4,19,4242753.17
C1575,2427,1,Low,Suburban,205,364,7,6,1781282.72
C1576,2856,3,Medium,Urban,298,228,3,21,1962456.47
C1577,5290,4,High,Suburban,180,234,10,9,3708908.94
C1578,806,3,Medium,Rural,150,436,10,15,614074.61
C1579,8479,3,Low,Suburban,288,493,2,5,8127493.76
C1580,4165,2,Medium,Suburban,242,289,10,10,3119316.74
C1581,7557,2,Medium,Suburban,217,402,7,13,6351224.29
C1582,1161,4,Low,Rural,185,427,5,18,692076.29
C1583,5144,5,High,Urban,228,267,1,22,4176229.38
C1584,9003,2,Medium,Suburban,216,330,10,21,7842445.15
C1585,3420,5,High,Urban,200,310,8,11,3232720.68
C1586,9774,1,High,Suburban,279,211,3,12,7061483.45
C1587,9446,2,Medium,Suburban,155,487,7,8,7691521.71
C1588,6736,2,Low,Urban,203,374,6,5,5698503.77
C1589,6578,4,Medium,Suburban,237,353,10,22,6041030.01
C1590,852,5,Low,Suburban,294,242,6,10,601036.81
C1591,9594,2,High,Urban,154,404,8,8,9113463.08
C1592,7505,2,Low,Suburban,151,371,4,10,4604946.52
C1593,658,4,Medium,Urban,207,493,4,16,606682.96
C1594,1456,4,Medium,Suburban,161,484,3,10,1310000.25
C1595,2571,5,Medium,Urban,154,251,1,13,1526223.84
C1596,9095,1,Medium,Suburban,255,314,10,12,7145145.36
C1597,3953,1,Medium,Suburban,297,218,3,12,2713470.28
C1598,7175,3,Low,Suburban,278,234,1,13,3877349.23
C1599,1455,2,Low,Urban,205,247,6,3,864970.33
C1600,6795,5,Medium,Rural,219,432,8,17,4879218.59
C1601,2212,2,High,Suburban,205,418,3,7,1964193.46
C1602,5203,5,Medium,Urban,203,309,4,16,3652614.02
C1603,7063,5,Medium,Rural,288,453,5,22,5523128.96
C1604,9965,5,Medium,Urban,152,387,7,10,8552981.92
C1605,6131,2,Medium,Suburban,244,230,6,19,3780826.42
C1606,1894,4,High,Suburban,177,458,2,6,1828092.29
C1607,9961,2,Low,Suburban,260,362,7,6,7875004.2
C1608,5232,5,Medium,Rural,256,270,8,20,3337698.96
C1609,4214,3,High,Suburban,269,255,1,21,3356364.13
C1610,1029,1,High,Urban,282,298,6,5,930150.41
